,exp_key,preemption_latency_limit,min_wait_time,use_original_configs,use_space_share,disable_transformation,wait_time_to_use_original,high_priority_job,high_priority_job_workload_type,best_effort_job,best_effort_job_workload_type,best_effort_tally_throughput,best_effort_mps_throughput,best_effort_mps_priority_throughput,best_effort_time_slicing_throughput,best_effort_tgs_throughput,high_priority_tally_throughput,high_priority_mps_throughput,high_priority_mps_priority_throughput,high_priority_time_slicing_throughput,high_priority_tgs_throughput,high_priority_orig_avg_latency,high_priority_tally_avg_latency,high_priority_mps_avg_latency,high_priority_mps_priority_avg_latency,high_priority_time_slicing_avg_latency,high_priority_tgs_avg_latency,high_priority_orig_90th_latency,high_priority_tally_90th_latency,high_priority_mps_90th_latency,high_priority_mps_priority_90th_latency,high_priority_time_slicing_90th_latency,high_priority_tgs_90th_latency,high_priority_orig_95th_latency,high_priority_tally_95th_latency,high_priority_mps_95th_latency,high_priority_mps_priority_95th_latency,high_priority_time_slicing_95th_latency,high_priority_tgs_priority_95th_latency,high_priority_orig_99th_latency,high_priority_tally_99th_latency,high_priority_mps_99th_latency,high_priority_mps_priority_99th_latency,high_priority_time_slicing_99th_latency,high_priority_tgs_99th_latency,high_priority_tgs_95th_latency
33,pytorch_whisper-large-v3_train_16_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_whisper-large-v3_train_16,training,0.52,0.99,0.96,0.72,0.68,1.0,0.99,1.0,0.99,1.0,1963.886,1998.51,3325.675,3069.252,3120.819,2681.757,1970.355,2006.242,3539.434,3374.091,3877.132,3363.243,1975.84,2008.153,3541.47,3378.824,3920.26,,1982.652,2013.816,3546.247,3380.507,4039.677,3400.672,3381.216
34,pytorch_whisper-large-v3_train_16_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_whisper-large-v3_train_16,training,0.63,0.99,0.96,0.72,0.68,1.0,0.99,1.0,0.99,1.0,1963.886,2120.226,3325.675,3069.252,3120.819,2681.757,1970.355,2236.898,3539.434,3374.091,3877.132,3363.243,1975.84,2247.666,3541.47,3378.824,3920.26,,1982.652,2261.873,3546.247,3380.507,4039.677,3400.672,3381.216
35,pytorch_whisper-large-v3_train_16_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_whisper-large-v3_train_16,training,0.93,0.99,0.96,0.72,0.68,1.0,0.99,1.0,0.99,1.0,1963.886,3026.573,3325.675,3069.252,3120.819,2681.757,1970.355,3381.883,3539.434,3374.091,3877.132,3363.243,1975.84,3384.68,3541.47,3378.824,3920.26,,1982.652,3391.587,3546.247,3380.507,4039.677,3400.672,3381.216
27,pytorch_resnet50_train_128_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_resnet50_train_128,training,0.37,0.74,0.74,0.5,0.75,1.0,1.0,1.0,0.87,1.0,1963.886,1997.829,2535.965,2480.039,4531.198,2373.335,1970.355,2012.026,2558.289,2508.685,4532.842,2405.512,1975.84,2017.153,2562.153,2511.873,4539.389,,1982.652,2025.393,2566.643,2512.709,4549.336,2422.889,2410.464
28,pytorch_resnet50_train_128_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_resnet50_train_128,training,0.39,0.74,0.74,0.5,0.75,1.0,1.0,1.0,0.87,1.0,1963.886,2005.442,2535.965,2480.039,4531.198,2373.335,1970.355,2013.029,2558.289,2508.685,4532.842,2405.512,1975.84,2025.966,2562.153,2511.873,4539.389,,1982.652,2051.725,2566.643,2512.709,4549.336,2422.889,2410.464
29,pytorch_resnet50_train_128_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_resnet50_train_128,training,0.74,0.74,0.74,0.5,0.75,1.0,1.0,1.0,0.87,1.0,1963.886,2489.446,2535.965,2480.039,4531.198,2373.335,1970.355,2510.204,2558.289,2508.685,4532.842,2405.512,1975.84,2513.168,2562.153,2511.873,4539.389,,1982.652,2521.001,2566.643,2512.709,4549.336,2422.889,2410.464
21,pytorch_pointnet_train_128_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_pointnet_train_128,training,0.4,0.8,0.79,0.5,0.75,1.0,1.0,1.0,0.94,1.0,1963.886,2001.557,2847.565,2723.664,4197.436,2683.876,1970.355,2013.433,2901.574,2768.13,4275.756,2748.589,1975.84,2022.633,2907.771,2772.442,4278.156,,1982.652,2059.17,2915.043,2776.06,4280.417,2783.717,2762.425
22,pytorch_pointnet_train_128_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,FALSE,TRUE,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_pointnet_train_128,training,0.43,0.8,0.79,0.5,0.75,1.0,1.0,1.0,0.94,1.0,1963.886,2025.638,2847.565,2723.664,4197.436,2683.876,1970.355,2044.517,2901.574,2768.13,4275.756,2748.589,1975.84,2051.682,2907.771,2772.442,4278.156,,1982.652,2064.708,2915.043,2776.06,4280.417,2783.717,2762.425
23,pytorch_pointnet_train_128_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.1,Default,FALSE,TRUE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_pointnet_train_128,training,0.76,0.8,0.79,0.5,0.75,1.0,1.0,1.0,0.94,1.0,1963.886,2769.54,2847.565,2723.664,4197.436,2683.876,1970.355,2823.753,2901.574,2768.13,4275.756,2748.589,1975.84,2828.949,2907.771,2772.442,4278.156,,1982.652,2832.922,2915.043,2776.06,4280.417,2783.717,2762.425
15,pytorch_pegasus-x-base_train_4_onnxruntime_llama-2-7b_infer_server_load_0.5_1,0.0316,Default,FALSE,FALSE,False,Default,onnxruntime_llama-2-7b_infer_server_load_0.5_1,inference-server,pytorch_pegasus-x-base_train_4,training,0.46,0.85,0.81,0.47,0.79,1.0,0.9,1.0,1.0,1.0,1963.886,1989.654,4383.393,3583.218,3412.645,3408.329,1970.355,1998.136,4432.834,3629.564,3520.697,3481.049,1975.84,2005.762,4436.278,3633.228,3527.075,,1982.652,2012.672,4442.112,3646.015,3543.865,3498.714,3490.171
